doc_id,film,text,response_llama3.1
1,Don't Look Up,"Don't look Up is an amazing social commentary that includes a great amount of comedy to get its message across. It tells the story of an asteroid heading to earth and will kill civilization. Its commentary critiques the government for its inability to act on pressing issues that harm the whole world, while also critiquing the people who listen to the people in power and don't bat an eye. The true magic of the movie is when the asteroid finally…","{
  ""categories"": [""dominant-hegemonic""]
}"
2,Don't Look Up,"When this movie came out, it really came off as a boomer self-gratification piece to validate their own outrage at the Trump admin and the tech oligarchy and worship of guys on the spectrum who are also sociopaths. With that all being said, that's still what it is, but unfortunately I think this movie hits harder now than it did a few years ago. Reality is a suggestion. You either have a fully blown off roof, or a fully blown off roof but you think everything is fine. Fun times.","{
  ""categories"": [""oppositional""]
}"
3,Don't Look Up,"This had an odd change of heart. I went into this film expecting to be very disappointed of Adam McKay's storytelling, because of the criticisms people have about this film, but I think a lot of those criticisms are exactly what makes this work. At first, yes it is extremely exaggerated, the characters feel like caricatures and are extremely exaggerated, but well it is a satire at it's core, and yes, at times it may feel like it's preaching to…","{
  ""categories"": [""dominant-hegemonic""]
}"
4,Don't Look Up,so so good. everyone did what they needed to do.,"{
  ""categories"": [""dominant-hegemonic""]
}"
5,Don't Look Up,leo really the best and it’s not close fucking love fingerling potatoes,"{
  ""categories"": [""unclear/irrelevant""]
}"
6,Don't Look Up,this is not a good movie to watch when you’re consumed with existential dread and general pessimism toward the human race,"{
  ""categories"": [""oppositional""]
}"
7,Don't Look Up,One of my favorite “end of world” movies. Perfectly relates to our abhorrent political state that protects images more than lives.,"{
  ""categories"": [""dominant-hegemonic""]
}"
8,Don't Look Up,"Pretentious? Yes, absolutely. An over exaggeration? No, not at all.","{
  ""categories"": [""dominant-hegemonic""]
}"
9,Don't Look Up,One of Leo’s more weaker films however I still enjoyed the ideas of it with some solid comedic and emotional areas,"{
  ""categories"": [""dominant-hegemonic""]
}"
10,Don't Look Up,Okay I watched it on a first date that did not go well. But overall it was a great story about how the elite do not actually care about anyone but themselves and money. Even when their plan went wrong they still lived.,"{
  ""categories"": [""negotiated""]
}"
11,Don't Look Up,this is a hard one to watch amazing cast,"{
  ""categories"": [""dominant-hegemonic""]
}"
12,Don't Look Up,"Watching this after Project Hail Mary gave me whiplash. I really loved the discontinuity editing and think it really drives home the facetious nature of the story. It’s hard to ignore the abrupt cutting between scenes. It was disorientating and disrupted the narrative flow, but in an intentional way. It makes the viewer feel as detached from the movie’s grim series of events as everyone in the movie seems to be. The use of sound was also very interesting. There…","{
  ""categories"": [""dominant-hegemonic""]
}"
13,Don't Look Up,Why did he charge her for free chips?,"{
  ""categories"": [""unclear/irrelevant""]
}"
14,Don't Look Up,"It's a great criticism to today's society, about the manipulation on social media and how the government and powerful companies control us and our ideas and try to make us see what isn't true when we really need to see what's really happening. The movie is great but I didn't watch on my own free will so I might watch it again soon","{
  ""categories"": [""dominant-hegemonic""]
}"
15,Don't Look Up,"The problem isn't the message, it's just objectively not a good movie. Adam McKay really need to go back to making his less serious comedies because he just feels pretentious as hell now.","{
  ""categories"": [""oppositional""]
}"
16,Don't Look Up,"honest, satirical but very very obvious. Would've despised it if the world was saved in the end. my rating = reasonable ending/10","{
  ""categories"": [""oppositional""]
}"
17,Don't Look Up,I love this movie! At first I thought this movie is boring but thank god I continue watching this and it’s so peakkk,"{
  ""categories"": [""dominant-hegemonic""]
}"
18,Don't Look Up,it’s giving nothing and weirdo,"{
  ""categories"": [""oppositional""]
}"
19,Don't Look Up,"it was way more composed, serious and smart than what would actually happen in this situation in the real world","{
  ""categories"": [""dominant-hegemonic""]
}"
20,Don't Look Up,they did dirty to timmy in this movie,"{
  ""categories"": [""unclear/irrelevant""]
}"
21,Don't Look Up,"Stressful to watch, knowing how close to reality some of the characters in the film","{
  ""categories"": [""dominant-hegemonic""]
}"
22,Don't Look Up,Don't bother with this garbage and go watch Melancholia instead Some visuals are good. that's the only good thing i can think of,"{
  ""categories"": [""oppositional""]
}"
23,Don't Look Up,Why do I feel like this is happening today…,"{
  ""categories"": [""unclear/irrelevant""]
}"
24,Don't Look Up,"the clip of the ending popped up in my youtube feed and it reminded me just how much the ending affected me when i first watched it. which is funny cuz everything leading up to it is kinda unfunny, cringe, poorly-written.. but it at least built up the characters enough so that by the end.. wow. the last 3 minutes are literally the only reason im rating this","{
  ""categories"": [""oppositional""]
}"
